Call Price,Volume,Open Interest,Strike,Put Price,Volume,Open Interest
273.53,2,0,180,0.02,17,0
229.15,1,2,185,0.02,401,0
259.58,2,0,190,0.02,41,0
251.01,2,6,195,0.01,10,"6,307"
253,2,0,200,0.01,40,0
209.95,1,0,205,0.02,28,"13,287"
212.64,1,7,210,0.02,2,0
226.79,1,3,215,0.01,55,"6,127"
231.41,2,0,220,0.02,400,0
191.29,13,0,225,0.03,39,"5,874"
221.44,2,0,230,0.02,35,0
196.95,26,42,235,0.03,125,0
176.73,1,0,240,0.04,6,0
203.15,4,17,245,0.04,10,0
201.77,10,0,250,0.04,420,0
195.4,18,0,255,0.05,1,0
194.93,1,0,260,0.05,16,"7,088"
171,2,132,265,0.05,3,0
167.75,1,0,270,0.05,6,0
180.86,1,0,275,0.05,204,0
156.51,1,153,280,0.07,7,0
154.9,3,0,285,0.07,67,0
149.92,3,0,290,0.08,10,0
158.38,200,163,295,0.09,1,0
155.97,9,0,300,0.09,101,0
150.2,5,0,305,0.11,112,"9,045"
143.73,2,108,310,0.12,70,0
138.49,2,260,315,0.13,27,"19,477"
121.32,3,0,320,0.14,34,"21,489"
131.3,6,0,325,0.15,22,0
123.74,2,351,330,0.16,23,0
120.85,53,0,335,0.2,4,0
116.59,7,0,340,0.19,131,"23,297"
109.8,1,0,345,0.23,51,0
106.3,1,0,350,0.23,139,0
100,1,0,355,0.27,62,0
-,-,-,356,0.32,11,0
-,-,-,357,0.45,2,0
-,-,-,358,0.35,500,0
-,-,-,359,0.3,1,390
92.17,2,0,360,0.28,107,0
-,-,-,361,0.34,141,634
-,-,-,362,0.34,18,0
-,-,-,363,0.35,11,0
53.85,6,0,364,0.37,6,0
91.59,1,0,365,0.33,13,0
-,-,-,366,0.37,106,0
-,-,-,367,0.38,2,0
-,-,-,368,0.39,6,0
-,-,-,369,0.38,10,0
86.8,2,0,370,0.37,120,0
56.46,2,2,371,0.41,1,0
-,-,-,372,0.42,1,0
-,-,-,373,0.37,2,0
-,-,-,374,0.39,2,0
81.79,3,0,375,0.39,137,0
-,-,-,376,0.47,20,"1,929"
-,-,-,377,0.44,1,"1,302"
-,-,-,378,0.44,100,0
78.47,5,0,379,0.48,14,"3,196"
76.79,8,0,380,0.43,62,"36,542"
71.8,1,0,381,0.46,1,0
-,-,-,382,0.39,1,0
69.67,1,0,383,0.47,3,0
55.16,-,0,384,0.54,2,"1,280"
72.6,5,0,385,0.51,4,0
66.02,1,1,386,0.5,3,0
-,-,-,387,0.51,1,0
67.53,1,0,388,0.59,3,0
-,-,-,389,0.6,63,"2,069"
67.16,28,0,390,0.55,46,0
33.34,2,0,391,0.62,18,0
42.87,875,876,392,0.58,8,0
58.4,-,0,393,0.66,640,0
62.72,2,10,394,0.68,19,"2,692"
60.88,13,0,395,0.62,60,0
60.86,2,130,396,0.65,2,"5,183"
-,-,-,397,0.73,8,"3,719"
59.15,3,0,398,0.66,6,"3,538"
58.5,1,0,399,0.73,5,"3,779"
57.52,60,0,400,0.69,705,0
56.91,2,"2,323",401,0.75,4,0
54.94,3,0,402,0.74,37,0
54.74,4,0,403,0.77,17,0
53.07,5,0,404,0.83,15,0
51.29,3,"10,645",405,0.81,273,0
49.58,4,0,406,0.84,1,"3,501"
50.19,3,0,407,0.85,70,0
49.86,2,0,408,1,360,0
48.21,4,0,409,0.9,18,"4,155"
47.68,18,"14,324",410,0.92,"1,843",0
44.99,1,0,411,0.99,205,0
45.87,7,895,412,1.03,12,0
45.44,22,0,413,1.03,"3,234","31,420"
44.1,2,0,414,1.06,344,0
43.2,69,0,415,1.1,185,0
42.5,1,0,416,1.14,345,"42,389"
41.04,4,0,417,1.18,859,"10,210"
40.58,22,0,418,1.23,412,"6,841"
39.35,3,0,419,1.3,39,0
38.25,8,0,420,1.31,"1,604",0
37.12,81,"6,064",421,1.39,317,"6,463"
36.6,14,0,422,1.45,"2,573",0
35.35,6,"5,632",423,1.48,"1,958",0
34.43,1,0,424,1.56,741,"15,447"
33.55,75,"16,267",425,1.58,"3,726",0
32.73,1,0,426,1.72,196,"7,534"
32.11,1,"6,135",427,1.7,"1,401",0
30.85,18,"1,269",428,1.83,484,0
29.79,2,0,429,1.92,158,0
29.2,39,"31,523",430,1.96,801,0
28.07,6,0,431,2.09,458,0
27.24,19,"2,806",432,2.15,"9,679",0
26.48,1,0,433,2.23,796,0
25.3,12,0,434,2.35,411,0
24.6,229,0,435,2.44,"1,829",0
23.78,8,0,436,2.59,633,0
22.9,10,0,437,2.69,666,0
22.07,88,"2,260",438,2.82,"1,102","6,687"
21.24,30,0,439,2.96,347,0
20.45,"1,109",0,440,3.09,"1,428",0
19.51,719,0,441,3.3,509,"2,467"
18.68,261,0,442,3.51,826,"1,538"
17.87,156,"3,618",443,3.64,439,0
17.09,184,0,444,3.81,794,0
16.25,144,0,445,4,"3,129",0
15.48,122,"12,246",446,4.28,"1,841","2,801"
14.7,91,0,447,4.52,"1,549",0
13.74,7,0,448,4.72,575,0
13.19,19,0,449,5.04,446,0
12.49,317,0,450,5.29,"1,497",0
11.8,110,0,451,5.6,"1,984","2,234"
11.12,108,0,452,5.91,566,0
10.32,29,0,453,6.27,332,0
9.74,27,0,454,6.66,699,0
9.15,"2,032",0,455,7.04,"4,363",0
8.51,331,0,456,7.51,930,0
8.01,592,0,457,7.93,"1,994",0
7.38,658,0,458,8.36,433,0
6.28,"4,502",0,460,9.37,102,"11,563"
5.32,"5,678",0,462,10.58,3,0
4.47,"1,568","10,775",464,12.12,15,0
4.13,"1,378",0,465,12.5,13,"4,166"
3.71,371,0,466,13.43,10,0
3.05,637,"3,411",468,14.7,1,0
2.5,"1,300",0,470,16.45,11,0
2.04,"1,011",0,472,17.9,10,0
1.62,228,0,474,19.91,2,0
1.43,405,0,475,20.59,5,0
1.28,"1,030","3,090",476,25.94,-,1
1.02,608,"3,083",478,22.7,2,0
0.79,649,"25,147",480,25.51,2,0
0.63,430,0,482,30.77,4,0
0.49,331,0,484,-,-,-
0.43,455,0,485,32.17,1,21
0.4,31,0,486,-,-,-
0.31,7,0,488,-,-,-
0.25,207,"18,916",490,34.86,1,0
0.2,2,0,492,-,-,-
0.19,21,36,494,-,-,-
0.15,60,0,495,54.61,1,1
0.14,9,"1,063",496,-,-,-
0.09,272,0,500,44.8,5,0
0.06,5,0,505,54.42,1,0
0.05,262,0,510,75.11,2,0
0.05,22,0,515,81.37,1,1
0.03,202,0,520,86.39,1,0
0.03,42,0,525,84.49,1,0
0.03,2,0,530,74.97,2,0
0.02,1,0,535,79.8,3,0
0.01,90,"2,326",540,89.81,3,0
0.01,47,"1,004",545,129.39,40,0
0.01,1,"15,678",550,135.27,47,0
0.01,175,"20,465",555,141.75,36,0
0.01,3,0,560,146.63,40,0
0.01,10,"2,815",565,151.64,188,0
0.01,16,0,570,156.65,242,0
0.01,500,0,575,119.92,50,0
0.01,4,"39,879",580,129.43,16,0
0.01,100,0,585,144.28,7,0
0.01,167,0,590,172.13,21,0
0.02,4,0,595,177.12,24,0
0.01,1,0,600,182.13,27,0
0.01,"1,400",0,605,187.16,72,0
0.01,40,"1,576",610,207.85,1,1
0.01,554,0,615,212.94,1,1
0.01,4,0,620,207.34,2,0
0.01,2,258,625,249.09,2,0
0.01,74,"3,392",630,190.61,12,6
0.01,25,"3,081",635,-,-,-
0.01,25,569,640,193.02,1,0
0.01,25,0,645,197.9,1,0
0.01,3,"1,555",650,256.55,2,0
0.01,1,0,655,255.5,1,0
0.01,10,"30,518",660,270.3,2,0
0.01,65,"13,083",665,263.1,19,0
0.01,250,"37,520",670,277.86,1,0
0.01,9,0,675,228.65,65,26
0.01,3,748,680,282.45,2,0
0.01,152,"2,109",685,-,-,-
0.01,5,666,690,277.2,1,0
0.01,9,592,695,-,-,-
0.01,6,"4,322",700,272.34,1,0
0.02,1,275,705,249.74,-,9
0.03,300,"1,125",710,257.51,1,24
0.01,1,0,720,282.38,2,0
